Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;09:42;09:46;5;SVT1;SPORTNYTT;1410297-171A;Sport;Sportnyheter;-;1,354 %;0,434 %;0,151 %;138;28;6;31,416 %;23,249 %;25,867 %
2024-08-27;09:47;09:50;4;SVT1;KULTURNYHETERNA;1410156-171A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;1,388 %;0,480 %;0,116 %;142;31;5;33,811 %;26,651 %;23,644 %
2024-08-27;09:51;09:59;9;SVT1;MORGONSTUDION;1410114-171A;Blandmagasin;Morgonmagasin;-;1,388 %;0,441 %;0,156 %;142;29;6;32,813 %;23,797 %;24,150 %
2024-08-27;09:52;09:59;8;TV4;NYHETSMORGON;5698674;Blandmagasin;Morgonmagasin;-;2,097 %;0,859 %;0,323 %;215;56;13;49,426 %;46,267 %;48,697 %
2024-08-27;09:59;11:02;64;Kanal5;GREYS ANATOMY;;Fiktion/Film;TV-serier;Drama;0,057 %;0,018 %;0,000 %;6;1;0;1,604 %;1,073 %;0,000 %
2024-08-27;10:00;10:19;20;SVT1;HEMMAGYMPA MED SOFIA;1406193-002A;Underhållning, Lek;Underhållning;Lättsam underhållning;0,540 %;0,137 %;0,035 %;55;9;1;14,195 %;8,496 %;7,330 %
2024-08-27;10:00;10:07;8;TV4;NYHETERNA;5698676;Nyheter;Huvudnyheter;Nyhetssändningar;2,378 %;0,941 %;0,313 %;243;61;12;60,841 %;56,344 %;57,929 %
2024-08-27;10:08;10:10;3;TV4;TV4VÄDRET;5698671;Nyheter;Övriga nyheter/Väder;Väder;2,526 %;0,914 %;0,316 %;258;59;13;64,970 %;56,399 %;63,109 %
2024-08-27;10:11;10:11;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;2,472 %;0,942 %;0,314 %;253;61;13;63,902 %;57,109 %;66,192 %
2024-08-27;10:17;10:28;12;TV4;NYHETSMORGON;5698679;Blandmagasin;Morgonmagasin;-;2,192 %;0,959 %;0,314 %;224;62;13;61,592 %;58,388 %;62,897 %
2024-08-27;10:21;11:03;43;SVT1;LANDET RUNT;1411872-001A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,434 %;0,131 %;0,022 %;44;9;1;12,803 %;7,740 %;4,377 %
2024-08-27;10:34;10:55;22;TV4;NYHETSMORGON;5692755;Blandmagasin;Morgonmagasin;-;1,890 %;1,007 %;0,301 %;193;65;12;55,649 %;59,225 %;62,976 %
2024-08-27;10:40;11:26;47;TV3;NCIS;10.5240/4D06-1E8C-044E-0DE3-F211-1;Fiktion/Film;TV-serier;Kriminal;0,089 %;0,073 %;0,000 %;9;5;0;2,782 %;4,155 %;0,000 %
2024-08-27;11:00;11:07;8;TV4;NYHETERNA;5698670;Nyheter;Huvudnyheter;Nyhetssändningar;1,828 %;0,983 %;0,408 %;187;64;16;55,709 %;52,388 %;57,226 %
2024-08-27;11:03;12:07;65;Kanal5;TUNNELBANAN;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,099 %;0,045 %;0,011 %;10;3;0;3,204 %;2,421 %;1,441 %
2024-08-27;11:05;11:33;29;SVT1;TYPISKT ROMER;1407860-006A;Fakta;Samhällsprogram;-;0,184 %;0,104 %;0,000 %;19;7;0;5,964 %;6,029 %;0,000 %
2024-08-27;11:08;11:10;3;TV4;TV4VÄDRET;5698671;Nyheter;Övriga nyheter/Väder;Väder;1,906 %;1,054 %;0,445 %;195;68;18;58,403 %;54,366 %;64,352 %
2024-08-27;11:11;11:11;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;1,937 %;1,074 %;0,438 %;198;70;17;59,380 %;55,055 %;63,975 %
2024-08-27;11:16;11:38;23;TV4;NYHETSMORGON;5698674;Blandmagasin;Morgonmagasin;-;1,687 %;0,859 %;0,279 %;173;56;11;55,472 %;51,558 %;41,247 %
2024-08-27;11:31;12:26;56;TV3;LYXFÄLLAN;10.5240/25CC-C920-0E86-8986-E11B-7;Fakta;Ekonomiprogram;-;0,085 %;0,068 %;0,038 %;9;4;2;2,813 %;3,521 %;4,921 %
2024-08-27;11:35;11:48;14;SVT1;TACK GUD JAG ÄR HOMO;1392611-007A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,069 %;0,045 %;0,000 %;7;3;0;2,263 %;2,418 %;0,000 %
2024-08-27;11:42;11:59;18;TV4;NYHETSMORGON;5698669;Blandmagasin;Morgonmagasin;-;1,489 %;1,050 %;0,340 %;152;68;14;48,330 %;53,190 %;42,432 %
2024-08-27;11:50;12:03;14;SVT1;TACK GUD JAG ÄR HOMO;1392611-008A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,103 %;0,093 %;0,000 %;11;6;0;3,323 %;4,629 %;0,000 %
2024-08-27;12:00;12:02;3;SVT2;RAPPORT;1410055-117A;Nyheter;Huvudnyheter;Nyhetssändningar;0,233 %;0,093 %;0,000 %;24;6;0;7,366 %;4,328 %;0,000 %
